time_sk,submission_date,year,month,quarter,season,is_cold_month
95,2008-12-01,2008,12,4,Warm,0
96,2008-12-02,2008,12,4,Warm,0
97,2008-12-03,2008,12,4,Warm,0
98,2008-12-04,2008,12,4,Warm,0
99,2008-12-05,2008,12,4,Warm,0
100,2008-12-06,2008,12,4,Warm,0
101,2008-12-07,2008,12,4,Warm,0
102,2008-12-08,2008,12,4,Warm,0
103,2008-12-09,2008,12,4,Warm,0
104,2008-12-10,2008,12,4,Warm,0
105,2008-12-11,2008,12,4,Warm,0
106,2008-12-12,2008,12,4,Warm,0
107,2008-12-13,2008,12,4,Warm,0
108,2008-12-14,2008,12,4,Warm,0
109,2008-12-15,2008,12,4,Warm,0
110,2008-12-16,2008,12,4,Warm,0
111,2008-12-17,2008,12,4,Warm,0
112,2008-12-18,2008,12,4,Warm,0
113,2008-12-19,2008,12,4,Warm,0
114,2008-12-20,2008,12,4,Warm,0
115,2008-12-21,2008,12,4,Warm,0
116,2008-12-22,2008,12,4,Warm,0
117,2008-12-23,2008,12,4,Warm,0
118,2008-12-24,2008,12,4,Warm,0
119,2008-12-25,2008,12,4,Warm,0
120,2008-12-26,2008,12,4,Warm,0
121,2008-12-27,2008,12,4,Warm,0
122,2008-12-28,2008,12,4,Warm,0
123,2008-12-29,2008,12,4,Warm,0
124,2008-12-30,2008,12,4,Warm,0
125,2008-12-31,2008,12,4,Warm,0
126,2009-01-01,2009,1,1,Cold,1
127,2009-01-02,2009,1,1,Cold,1
128,2009-01-03,2009,1,1,Cold,1
129,2009-01-04,2009,1,1,Cold,1
130,2009-01-05,2009,1,1,Cold,1
131,2009-01-06,2009,1,1,Cold,1
132,2009-01-07,2009,1,1,Cold,1
133,2009-01-08,2009,1,1,Cold,1
134,2009-01-09,2009,1,1,Cold,1
135,2009-01-10,2009,1,1,Cold,1
136,2009-01-11,2009,1,1,Cold,1
137,2009-01-12,2009,1,1,Cold,1
138,2009-01-13,2009,1,1,Cold,1
139,2009-01-14,2009,1,1,Cold,1
140,2009-01-15,2009,1,1,Cold,1
141,2009-01-16,2009,1,1,Cold,1
142,2009-01-17,2009,1,1,Cold,1
143,2009-01-18,2009,1,1,Cold,1
144,2009-01-19,2009,1,1,Cold,1
145,2009-01-20,2009,1,1,Cold,1
146,2009-01-21,2009,1,1,Cold,1
147,2009-01-22,2009,1,1,Cold,1
148,2009-01-23,2009,1,1,Cold,1
149,2009-01-24,2009,1,1,Cold,1
150,2009-01-25,2009,1,1,Cold,1
151,2009-01-26,2009,1,1,Cold,1
152,2009-01-27,2009,1,1,Cold,1
153,2009-01-28,2009,1,1,Cold,1
154,2009-01-29,2009,1,1,Cold,1
155,2009-01-30,2009,1,1,Cold,1
156,2009-01-31,2009,1,1,Cold,1
157,2009-02-01,2009,2,1,Cold,1
158,2009-02-02,2009,2,1,Cold,1
159,2009-02-03,2009,2,1,Cold,1
160,2009-02-04,2009,2,1,Cold,1
161,2009-02-05,2009,2,1,Cold,1
162,2009-02-06,2009,2,1,Cold,1
163,2009-02-07,2009,2,1,Cold,1
164,2009-02-08,2009,2,1,Cold,1
165,2009-02-09,2009,2,1,Cold,1
166,2009-02-10,2009,2,1,Cold,1
167,2009-02-11,2009,2,1,Cold,1
168,2009-02-12,2009,2,1,Cold,1
169,2009-02-13,2009,2,1,Cold,1
170,2009-02-14,2009,2,1,Cold,1
171,2009-02-15,2009,2,1,Cold,1
172,2009-02-16,2009,2,1,Cold,1
173,2009-02-17,2009,2,1,Cold,1
174,2009-02-18,2009,2,1,Cold,1
175,2009-02-19,2009,2,1,Cold,1
176,2009-02-20,2009,2,1,Cold,1
177,2009-02-21,2009,2,1,Cold,1
178,2009-02-22,2009,2,1,Cold,1
179,2009-02-23,2009,2,1,Cold,1
180,2009-02-24,2009,2,1,Cold,1
181,2009-02-25,2009,2,1,Cold,1
182,2009-02-26,2009,2,1,Cold,1
183,2009-02-27,2009,2,1,Cold,1
184,2009-02-28,2009,2,1,Cold,1
185,2009-03-01,2009,3,1,Cold,1
186,2009-03-02,2009,3,1,Cold,1
187,2009-03-03,2009,3,1,Cold,1
188,2009-03-04,2009,3,1,Cold,1
189,2009-03-05,2009,3,1,Cold,1
190,2009-03-06,2009,3,1,Cold,1
191,2009-03-07,2009,3,1,Cold,1
192,2009-03-08,2009,3,1,Cold,1
193,2009-03-09,2009,3,1,Cold,1
194,2009-03-10,2009,3,1,Cold,1
195,2009-03-11,2009,3,1,Cold,1
196,2009-03-12,2009,3,1,Cold,1
197,2009-03-13,2009,3,1,Cold,1
198,2009-03-14,2009,3,1,Cold,1
199,2009-03-15,2009,3,1,Cold,1
200,2009-03-16,2009,3,1,Cold,1
201,2009-03-17,2009,3,1,Cold,1
202,2009-03-18,2009,3,1,Cold,1
203,2009-03-19,2009,3,1,Cold,1
204,2009-03-20,2009,3,1,Cold,1
205,2009-03-21,2009,3,1,Cold,1
206,2009-03-22,2009,3,1,Cold,1
207,2009-03-23,2009,3,1,Cold,1
208,2009-03-24,2009,3,1,Cold,1
209,2009-03-25,2009,3,1,Cold,1
210,2009-03-26,2009,3,1,Cold,1
211,2009-03-27,2009,3,1,Cold,1
212,2009-03-28,2009,3,1,Cold,1
213,2009-03-29,2009,3,1,Cold,1
214,2009-03-30,2009,3,1,Cold,1
215,2009-03-31,2009,3,1,Cold,1
216,2009-04-01,2009,4,2,Cold,1
217,2009-04-02,2009,4,2,Cold,1
218,2009-04-03,2009,4,2,Cold,1
219,2009-04-04,2009,4,2,Cold,1
220,2009-04-05,2009,4,2,Cold,1
221,2009-04-06,2009,4,2,Cold,1
222,2009-04-07,2009,4,2,Cold,1
223,2009-04-08,2009,4,2,Cold,1
224,2009-04-09,2009,4,2,Cold,1
225,2009-04-10,2009,4,2,Cold,1
226,2009-04-11,2009,4,2,Cold,1
227,2009-04-12,2009,4,2,Cold,1
228,2009-04-13,2009,4,2,Cold,1
229,2009-04-14,2009,4,2,Cold,1
230,2009-04-15,2009,4,2,Cold,1
231,2009-04-16,2009,4,2,Cold,1
232,2009-04-17,2009,4,2,Cold,1
233,2009-04-18,2009,4,2,Cold,1
234,2009-04-19,2009,4,2,Cold,1
235,2009-04-20,2009,4,2,Cold,1
236,2009-04-21,2009,4,2,Cold,1
237,2009-04-22,2009,4,2,Cold,1
238,2009-04-23,2009,4,2,Cold,1
239,2009-04-24,2009,4,2,Cold,1
240,2009-04-25,2009,4,2,Cold,1
241,2009-04-26,2009,4,2,Cold,1
242,2009-04-27,2009,4,2,Cold,1
243,2009-04-28,2009,4,2,Cold,1
244,2009-04-29,2009,4,2,Cold,1
245,2009-04-30,2009,4,2,Cold,1
246,2009-05-01,2009,5,2,Warm,0
247,2009-05-02,2009,5,2,Warm,0
248,2009-05-03,2009,5,2,Warm,0
249,2009-05-04,2009,5,2,Warm,0
250,2009-05-05,2009,5,2,Warm,0
251,2009-05-06,2009,5,2,Warm,0
252,2009-05-07,2009,5,2,Warm,0
253,2009-05-08,2009,5,2,Warm,0
254,2009-05-09,2009,5,2,Warm,0
255,2009-05-10,2009,5,2,Warm,0
256,2009-05-11,2009,5,2,Warm,0
257,2009-05-12,2009,5,2,Warm,0
258,2009-05-13,2009,5,2,Warm,0
259,2009-05-14,2009,5,2,Warm,0
260,2009-05-15,2009,5,2,Warm,0
261,2009-05-16,2009,5,2,Warm,0
262,2009-05-17,2009,5,2,Warm,0
263,2009-05-18,2009,5,2,Warm,0
264,2009-05-19,2009,5,2,Warm,0
265,2009-05-20,2009,5,2,Warm,0
266,2009-05-21,2009,5,2,Warm,0
267,2009-05-22,2009,5,2,Warm,0
268,2009-05-23,2009,5,2,Warm,0
269,2009-05-24,2009,5,2,Warm,0
270,2009-05-25,2009,5,2,Warm,0
271,2009-05-26,2009,5,2,Warm,0
272,2009-05-27,2009,5,2,Warm,0
273,2009-05-28,2009,5,2,Warm,0
274,2009-05-29,2009,5,2,Warm,0
275,2009-05-30,2009,5,2,Warm,0
276,2009-05-31,2009,5,2,Warm,0
277,2009-06-01,2009,6,2,Warm,0
278,2009-06-02,2009,6,2,Warm,0
279,2009-06-03,2009,6,2,Warm,0
280,2009-06-04,2009,6,2,Warm,0
281,2009-06-05,2009,6,2,Warm,0
282,2009-06-06,2009,6,2,Warm,0
283,2009-06-07,2009,6,2,Warm,0
284,2009-06-09,2009,6,2,Warm,0
285,2009-06-10,2009,6,2,Warm,0
286,2009-06-11,2009,6,2,Warm,0
287,2009-06-12,2009,6,2,Warm,0
288,2009-06-13,2009,6,2,Warm,0
289,2009-06-14,2009,6,2,Warm,0
290,2009-06-15,2009,6,2,Warm,0
291,2009-06-16,2009,6,2,Warm,0
292,2009-06-17,2009,6,2,Warm,0
293,2009-06-18,2009,6,2,Warm,0
294,2009-06-19,2009,6,2,Warm,0
295,2009-06-20,2009,6,2,Warm,0
296,2009-06-21,2009,6,2,Warm,0
297,2009-06-22,2009,6,2,Warm,0
298,2009-06-23,2009,6,2,Warm,0
299,2009-06-24,2009,6,2,Warm,0
300,2009-06-25,2009,6,2,Warm,0
301,2009-06-26,2009,6,2,Warm,0
302,2009-06-27,2009,6,2,Warm,0
303,2009-06-28,2009,6,2,Warm,0
304,2009-06-29,2009,6,2,Warm,0
305,2009-06-30,2009,6,2,Warm,0
306,2009-07-01,2009,7,3,Warm,0
307,2009-07-02,2009,7,3,Warm,0
308,2009-07-03,2009,7,3,Warm,0
309,2009-07-04,2009,7,3,Warm,0
310,2009-07-05,2009,7,3,Warm,0
311,2009-07-06,2009,7,3,Warm,0
312,2009-07-07,2009,7,3,Warm,0
313,2009-07-08,2009,7,3,Warm,0
314,2009-07-09,2009,7,3,Warm,0
315,2009-07-10,2009,7,3,Warm,0
316,2009-07-11,2009,7,3,Warm,0
317,2009-07-12,2009,7,3,Warm,0
318,2009-07-13,2009,7,3,Warm,0
319,2009-07-14,2009,7,3,Warm,0
320,2009-07-15,2009,7,3,Warm,0
321,2009-07-16,2009,7,3,Warm,0
322,2009-07-17,2009,7,3,Warm,0
323,2009-07-18,2009,7,3,Warm,0
324,2009-07-19,2009,7,3,Warm,0
325,2009-07-20,2009,7,3,Warm,0
326,2009-07-21,2009,7,3,Warm,0
327,2009-07-22,2009,7,3,Warm,0
328,2009-07-23,2009,7,3,Warm,0
329,2009-07-24,2009,7,3,Warm,0
330,2009-07-25,2009,7,3,Warm,0
331,2009-07-26,2009,7,3,Warm,0
332,2009-07-27,2009,7,3,Warm,0
333,2009-07-28,2009,7,3,Warm,0
334,2009-07-29,2009,7,3,Warm,0
335,2009-07-30,2009,7,3,Warm,0
336,2009-07-31,2009,7,3,Warm,0
337,2009-08-01,2009,8,3,Warm,0
338,2009-08-02,2009,8,3,Warm,0
339,2009-08-03,2009,8,3,Warm,0
340,2009-08-04,2009,8,3,Warm,0
341,2009-08-05,2009,8,3,Warm,0
342,2009-08-06,2009,8,3,Warm,0
343,2009-08-07,2009,8,3,Warm,0
344,2009-08-08,2009,8,3,Warm,0
345,2009-08-09,2009,8,3,Warm,0
346,2009-08-10,2009,8,3,Warm,0
347,2009-08-11,2009,8,3,Warm,0
348,2009-08-12,2009,8,3,Warm,0
349,2009-08-13,2009,8,3,Warm,0
350,2009-08-14,2009,8,3,Warm,0
351,2009-08-15,2009,8,3,Warm,0
352,2009-08-16,2009,8,3,Warm,0
353,2009-08-17,2009,8,3,Warm,0
354,2009-08-18,2009,8,3,Warm,0
355,2009-08-19,2009,8,3,Warm,0
356,2009-08-20,2009,8,3,Warm,0
357,2009-08-21,2009,8,3,Warm,0
358,2009-08-22,2009,8,3,Warm,0
359,2009-08-23,2009,8,3,Warm,0
360,2009-08-24,2009,8,3,Warm,0
361,2009-08-25,2009,8,3,Warm,0
362,2009-08-26,2009,8,3,Warm,0
363,2009-08-27,2009,8,3,Warm,0
364,2009-08-28,2009,8,3,Warm,0
365,2009-08-29,2009,8,3,Warm,0
366,2009-08-30,2009,8,3,Warm,0
367,2009-08-31,2009,8,3,Warm,0
368,2009-09-01,2009,9,3,Warm,0
369,2009-09-02,2009,9,3,Warm,0
370,2009-09-03,2009,9,3,Warm,0
371,2009-09-04,2009,9,3,Warm,0
372,2009-09-05,2009,9,3,Warm,0
373,2009-09-06,2009,9,3,Warm,0
374,2009-09-07,2009,9,3,Warm,0
375,2009-09-08,2009,9,3,Warm,0
376,2009-09-09,2009,9,3,Warm,0
377,2009-09-10,2009,9,3,Warm,0
378,2009-09-11,2009,9,3,Warm,0
379,2009-09-12,2009,9,3,Warm,0
380,2009-09-13,2009,9,3,Warm,0
381,2009-09-14,2009,9,3,Warm,0
382,2009-09-15,2009,9,3,Warm,0
383,2009-09-16,2009,9,3,Warm,0
384,2009-09-17,2009,9,3,Warm,0
385,2009-09-18,2009,9,3,Warm,0
386,2009-09-19,2009,9,3,Warm,0
387,2009-09-20,2009,9,3,Warm,0
388,2009-09-21,2009,9,3,Warm,0
389,2009-09-22,2009,9,3,Warm,0
390,2009-09-23,2009,9,3,Warm,0
391,2009-09-24,2009,9,3,Warm,0
392,2009-09-25,2009,9,3,Warm,0
393,2009-09-26,2009,9,3,Warm,0
394,2009-09-27,2009,9,3,Warm,0
395,2009-09-28,2009,9,3,Warm,0
396,2009-09-29,2009,9,3,Warm,0
397,2009-09-30,2009,9,3,Warm,0
398,2009-10-01,2009,10,4,Warm,0
399,2009-10-02,2009,10,4,Warm,0
400,2009-10-03,2009,10,4,Warm,0
401,2009-10-04,2009,10,4,Warm,0
402,2009-10-05,2009,10,4,Warm,0
403,2009-10-06,2009,10,4,Warm,0
404,2009-10-07,2009,10,4,Warm,0
405,2009-10-08,2009,10,4,Warm,0
406,2009-10-09,2009,10,4,Warm,0
407,2009-10-10,2009,10,4,Warm,0
408,2009-10-11,2009,10,4,Warm,0
409,2009-10-12,2009,10,4,Warm,0
410,2009-10-13,2009,10,4,Warm,0
411,2009-10-14,2009,10,4,Warm,0
412,2009-10-15,2009,10,4,Warm,0
413,2009-10-16,2009,10,4,Warm,0
414,2009-10-17,2009,10,4,Warm,0
415,2009-10-18,2009,10,4,Warm,0
416,2009-10-19,2009,10,4,Warm,0
417,2009-10-20,2009,10,4,Warm,0
418,2009-10-21,2009,10,4,Warm,0
419,2009-10-22,2009,10,4,Warm,0
420,2009-10-23,2009,10,4,Warm,0
421,2009-10-24,2009,10,4,Warm,0
422,2009-10-25,2009,10,4,Warm,0
423,2009-10-26,2009,10,4,Warm,0
424,2009-10-27,2009,10,4,Warm,0
425,2009-10-28,2009,10,4,Warm,0
426,2009-10-29,2009,10,4,Warm,0
427,2009-10-30,2009,10,4,Warm,0
428,2009-10-31,2009,10,4,Warm,0
429,2009-11-01,2009,11,4,Warm,0
430,2009-11-02,2009,11,4,Warm,0
431,2009-11-03,2009,11,4,Warm,0
432,2009-11-04,2009,11,4,Warm,0
433,2009-11-05,2009,11,4,Warm,0
434,2009-11-06,2009,11,4,Warm,0
435,2009-11-07,2009,11,4,Warm,0
436,2009-11-08,2009,11,4,Warm,0
437,2009-11-09,2009,11,4,Warm,0
438,2009-11-10,2009,11,4,Warm,0
439,2009-11-11,2009,11,4,Warm,0
440,2009-11-12,2009,11,4,Warm,0
441,2009-11-13,2009,11,4,Warm,0
442,2009-11-14,2009,11,4,Warm,0
443,2009-11-15,2009,11,4,Warm,0
444,2009-11-16,2009,11,4,Warm,0
445,2009-11-17,2009,11,4,Warm,0
446,2009-11-18,2009,11,4,Warm,0
447,2009-11-19,2009,11,4,Warm,0
448,2009-11-20,2009,11,4,Warm,0
449,2009-11-21,2009,11,4,Warm,0
450,2009-11-22,2009,11,4,Warm,0
451,2009-11-23,2009,11,4,Warm,0
452,2009-11-24,2009,11,4,Warm,0
453,2009-11-25,2009,11,4,Warm,0
454,2009-11-26,2009,11,4,Warm,0
455,2009-11-27,2009,11,4,Warm,0
456,2009-11-28,2009,11,4,Warm,0
457,2009-11-29,2009,11,4,Warm,0
458,2009-11-30,2009,11,4,Warm,0
459,2009-12-01,2009,12,4,Warm,0
460,2009-12-02,2009,12,4,Warm,0
461,2009-12-03,2009,12,4,Warm,0
462,2009-12-04,2009,12,4,Warm,0
463,2009-12-05,2009,12,4,Warm,0
464,2009-12-06,2009,12,4,Warm,0
465,2009-12-07,2009,12,4,Warm,0
466,2009-12-08,2009,12,4,Warm,0
467,2009-12-09,2009,12,4,Warm,0
468,2009-12-10,2009,12,4,Warm,0
469,2009-12-11,2009,12,4,Warm,0
470,2009-12-12,2009,12,4,Warm,0
471,2009-12-13,2009,12,4,Warm,0
472,2009-12-14,2009,12,4,Warm,0
473,2009-12-15,2009,12,4,Warm,0
474,2009-12-16,2009,12,4,Warm,0
475,2009-12-17,2009,12,4,Warm,0
476,2009-12-18,2009,12,4,Warm,0
477,2009-12-19,2009,12,4,Warm,0
478,2009-12-20,2009,12,4,Warm,0
479,2009-12-21,2009,12,4,Warm,0
480,2009-12-22,2009,12,4,Warm,0
481,2009-12-23,2009,12,4,Warm,0
482,2009-12-24,2009,12,4,Warm,0
483,2009-12-25,2009,12,4,Warm,0
484,2009-12-26,2009,12,4,Warm,0
485,2009-12-27,2009,12,4,Warm,0
486,2009-12-28,2009,12,4,Warm,0
487,2009-12-29,2009,12,4,Warm,0
488,2009-12-30,2009,12,4,Warm,0
489,2009-12-31,2009,12,4,Warm,0
490,2010-01-01,2010,1,1,Cold,1
491,2010-01-02,2010,1,1,Cold,1
492,2010-01-03,2010,1,1,Cold,1
493,2010-01-04,2010,1,1,Cold,1
494,2010-01-05,2010,1,1,Cold,1
495,2010-01-06,2010,1,1,Cold,1
496,2010-01-07,2010,1,1,Cold,1
497,2010-01-08,2010,1,1,Cold,1
498,2010-01-09,2010,1,1,Cold,1
499,2010-01-10,2010,1,1,Cold,1
500,2010-01-11,2010,1,1,Cold,1
501,2010-01-12,2010,1,1,Cold,1
502,2010-01-13,2010,1,1,Cold,1
503,2010-01-14,2010,1,1,Cold,1
504,2010-01-15,2010,1,1,Cold,1
505,2010-01-16,2010,1,1,Cold,1
506,2010-01-17,2010,1,1,Cold,1
507,2010-01-18,2010,1,1,Cold,1
508,2010-01-19,2010,1,1,Cold,1
509,2010-01-20,2010,1,1,Cold,1
510,2010-01-21,2010,1,1,Cold,1
511,2010-01-22,2010,1,1,Cold,1
512,2010-01-23,2010,1,1,Cold,1
513,2010-01-24,2010,1,1,Cold,1
514,2010-01-25,2010,1,1,Cold,1
515,2010-01-26,2010,1,1,Cold,1
516,2010-01-27,2010,1,1,Cold,1
517,2010-01-28,2010,1,1,Cold,1
518,2010-01-29,2010,1,1,Cold,1
519,2010-01-30,2010,1,1,Cold,1
520,2010-01-31,2010,1,1,Cold,1
521,2010-02-01,2010,2,1,Cold,1
522,2010-02-02,2010,2,1,Cold,1
523,2010-02-03,2010,2,1,Cold,1
524,2010-02-04,2010,2,1,Cold,1
525,2010-02-05,2010,2,1,Cold,1
526,2010-02-06,2010,2,1,Cold,1
527,2010-02-07,2010,2,1,Cold,1
528,2010-02-08,2010,2,1,Cold,1
529,2010-02-09,2010,2,1,Cold,1
530,2010-02-10,2010,2,1,Cold,1
531,2010-02-11,2010,2,1,Cold,1
532,2010-02-12,2010,2,1,Cold,1
533,2010-02-13,2010,2,1,Cold,1
534,2010-02-14,2010,2,1,Cold,1
535,2010-02-15,2010,2,1,Cold,1
536,2010-02-16,2010,2,1,Cold,1
537,2010-02-17,2010,2,1,Cold,1
538,2010-02-18,2010,2,1,Cold,1
539,2010-02-19,2010,2,1,Cold,1
540,2010-02-20,2010,2,1,Cold,1
541,2010-02-21,2010,2,1,Cold,1
542,2010-02-22,2010,2,1,Cold,1
543,2010-02-23,2010,2,1,Cold,1
544,2010-02-24,2010,2,1,Cold,1
545,2010-02-25,2010,2,1,Cold,1
546,2010-02-26,2010,2,1,Cold,1
547,2010-02-27,2010,2,1,Cold,1
548,2010-02-28,2010,2,1,Cold,1
549,2010-03-01,2010,3,1,Cold,1
550,2010-03-02,2010,3,1,Cold,1
551,2010-03-03,2010,3,1,Cold,1
552,2010-03-04,2010,3,1,Cold,1
553,2010-03-05,2010,3,1,Cold,1
554,2010-03-06,2010,3,1,Cold,1
555,2010-03-07,2010,3,1,Cold,1
556,2010-03-08,2010,3,1,Cold,1
557,2010-03-09,2010,3,1,Cold,1
558,2010-03-10,2010,3,1,Cold,1
559,2010-03-11,2010,3,1,Cold,1
560,2010-03-12,2010,3,1,Cold,1
561,2010-03-13,2010,3,1,Cold,1
562,2010-03-14,2010,3,1,Cold,1
563,2010-03-15,2010,3,1,Cold,1
564,2010-03-16,2010,3,1,Cold,1
565,2010-03-17,2010,3,1,Cold,1
566,2010-03-18,2010,3,1,Cold,1
567,2010-03-19,2010,3,1,Cold,1
568,2010-03-20,2010,3,1,Cold,1
569,2010-03-21,2010,3,1,Cold,1
570,2010-03-22,2010,3,1,Cold,1
571,2010-03-23,2010,3,1,Cold,1
572,2010-03-24,2010,3,1,Cold,1
573,2010-03-25,2010,3,1,Cold,1
574,2010-03-26,2010,3,1,Cold,1
575,2010-03-27,2010,3,1,Cold,1
576,2010-03-28,2010,3,1,Cold,1
577,2010-03-29,2010,3,1,Cold,1
578,2010-03-30,2010,3,1,Cold,1
579,2010-03-31,2010,3,1,Cold,1
580,2010-04-01,2010,4,2,Cold,1
581,2010-04-02,2010,4,2,Cold,1
582,2010-04-03,2010,4,2,Cold,1
583,2010-04-04,2010,4,2,Cold,1
584,2010-04-05,2010,4,2,Cold,1
585,2010-04-06,2010,4,2,Cold,1
586,2010-04-07,2010,4,2,Cold,1
587,2010-04-08,2010,4,2,Cold,1
588,2010-04-09,2010,4,2,Cold,1
589,2010-04-10,2010,4,2,Cold,1
590,2010-04-11,2010,4,2,Cold,1
591,2010-04-12,2010,4,2,Cold,1
592,2010-04-13,2010,4,2,Cold,1
593,2010-04-14,2010,4,2,Cold,1
594,2010-04-15,2010,4,2,Cold,1
595,2010-04-16,2010,4,2,Cold,1
596,2010-04-17,2010,4,2,Cold,1
597,2010-04-18,2010,4,2,Cold,1
598,2010-04-19,2010,4,2,Cold,1
599,2010-04-20,2010,4,2,Cold,1
600,2010-04-21,2010,4,2,Cold,1
601,2010-04-22,2010,4,2,Cold,1
602,2010-04-23,2010,4,2,Cold,1
603,2010-04-24,2010,4,2,Cold,1
604,2010-04-25,2010,4,2,Cold,1
605,2010-04-26,2010,4,2,Cold,1
606,2010-04-27,2010,4,2,Cold,1
607,2010-04-28,2010,4,2,Cold,1
608,2010-04-29,2010,4,2,Cold,1
609,2010-04-30,2010,4,2,Cold,1
610,2010-05-01,2010,5,2,Warm,0
611,2010-05-02,2010,5,2,Warm,0
612,2010-05-03,2010,5,2,Warm,0
613,2010-05-04,2010,5,2,Warm,0
614,2010-05-05,2010,5,2,Warm,0
615,2010-05-06,2010,5,2,Warm,0
616,2010-05-07,2010,5,2,Warm,0
617,2010-05-08,2010,5,2,Warm,0
618,2010-05-09,2010,5,2,Warm,0
619,2010-05-10,2010,5,2,Warm,0
620,2010-05-11,2010,5,2,Warm,0
621,2010-05-12,2010,5,2,Warm,0
622,2010-05-13,2010,5,2,Warm,0
623,2010-05-14,2010,5,2,Warm,0
624,2010-05-15,2010,5,2,Warm,0
625,2010-05-16,2010,5,2,Warm,0
626,2010-05-17,2010,5,2,Warm,0
627,2010-05-18,2010,5,2,Warm,0
628,2010-05-19,2010,5,2,Warm,0
629,2010-05-20,2010,5,2,Warm,0
630,2010-05-21,2010,5,2,Warm,0
631,2010-05-22,2010,5,2,Warm,0
632,2010-05-23,2010,5,2,Warm,0
