user_id,age,price,quantity,rating,transaction_id,transaction_date,product_code,category_id,category_name,temperature,humidity,wind_speed,weather_list,realfeel_list
4198,53,179.99,1,3.8,460895,2023-09-21,SK7278,1,CLEANSERS,-7.2,44.8,14.5,Rain,-7.6
3604,46,98.39,1,2.2,407530,2023-06-29,SK7930,2,TONERS,6.8,38.3,14.6,Partly cloudy,6.6
3825,36,173.82,3,3.4,298942,2023-11-16,SK8770,4,MOISTURIZERS,22.3,16.2,4.0,Mostly sunny,22.5
1782,57,167.88,3,3.8,798452,2023-03-03,SK4875,9,ANTIAGING,-0.7,80.7,8.7,Clear,-3.3
3250,65,131.6,4,5.0,722305,2023-08-22,SK3599,7,MASKS,23.4,22.6,22.9,Partly cloudy,23.0
1215,31,75.09,2,3.4,207347,2023-02-01,SK8435,6,EYECARE,-0.9,13.3,23.5,Partly cloudy,0.6
1250,20,169.55,3,4.6,275359,2023-11-11,SK1633,2,TONERS,11.7,41.9,0.9,Thunderstorms,14.2
2362,20,20.51,3,2.0,164503,2023-02-03,SK8617,9,ANTIAGING,8.1,74.7,1.0,Mostly cloudy w showers,5.9
1310,20,138.35,3,3.4,755997,2023-09-08,SK8738,1,CLEANSERS,25.5,23.1,25.5,Partly sunny with showers,26.4
4046,21,80.29,5,1.0,679518,2023-02-11,SK9646,3,EXFOLIANTS,1.6,35.4,12.8,Cloudy,3.5
3820,50,197.13,3,4.2,856663,2023-08-26,SK4936,6,EYECARE,18.5,79.5,6.3,Mostly clear,15.8
3768,36,69.98,1,1.8,470055,2023-02-01,SK3825,3,EXFOLIANTS,36.5,58.7,6.5,Mostly sunny,37.2
4915,35,185.41,2,1.0,681279,2023-05-03,SK9571,9,ANTIAGING,-2.8,58.6,9.8,Partly sunny with showers,-1.0
2642,32,30.65,2,2.5,670839,2023-10-31,SK4509,8,SUNSCREENS,35.8,56.2,1.2,Clear,38.6
4267,64,104.36,4,3.2,552057,2023-12-11,SK6048,3,EXFOLIANTS,17.6,62.6,21.4,Mostly cloudy with storms,16.5
2734,26,83.2,5,1.2,408193,2023-07-31,SK9999,2,TONERS,38.8,57.5,22.0,Mostly cloudy with storms,37.8
4885,45,50.0,2,2.8,121834,2023-12-11,SK2898,6,EYECARE,20.3,59.4,21.2,Mostly clear,23.0
2771,55,61.09,4,1.9,398142,2023-10-31,SK8708,7,MASKS,26.9,35.6,8.6,Showers,24.1
3204,26,48.82,2,2.3,275307,2023-11-18,SK9356,9,ANTIAGING,32.5,31.6,7.7,Mostly cloudy w showers,34.2
2310,21,129.61,5,2.6,725350,2023-06-16,SK7241,5,SERUMS,26.5,18.5,14.6,Sunny,24.3
4437,62,126.83,5,4.3,889965,2023-09-21,SK7777,6,EYECARE,-7.5,39.2,5.4,Cloudy,-8.1
1769,46,75.38,1,3.9,801760,2023-06-14,SK4589,3,EXFOLIANTS,19.9,16.1,8.4,Thunderstorms,21.7
4762,36,145.71,2,1.6,719867,2023-09-26,SK1928,5,SERUMS,9.8,72.5,20.0,Mostly cloudy w showers,8.6
2921,40,151.55,5,1.2,651610,2023-09-22,SK8585,8,SUNSCREENS,12.2,12.8,14.5,Mostly cloudy w showers,14.7
4037,37,138.24,4,2.7,129196,2023-07-25,SK5269,7,MASKS,5.7,32.1,27.0,Intermittent clouds,7.5
4869,29,97.03,4,4.4,156966,2023-11-08,SK6728,8,SUNSCREENS,37.4,29.3,3.4,Clear,36.3
4368,54,52.23,3,1.8,265962,2023-03-17,SK8847,2,TONERS,20.8,68.0,18.2,Thunderstorms,21.2
1009,34,199.1,3,2.5,582680,2023-12-02,SK4063,1,CLEANSERS,38.4,57.1,24.6,Rain,36.8
4462,45,143.76,3,4.5,854140,2023-04-19,SK1625,2,TONERS,27.1,53.1,9.2,Clear,29.6
1161,46,79.3,1,4.7,627780,2023-10-06,SK5106,1,CLEANSERS,10.9,89.9,20.1,Partly sunny,11.2
3216,34,197.29,1,4.1,893609,2023-05-02,SK2396,7,MASKS,-1.3,73.9,29.9,Partly sunny with showers,1.5
3745,41,193.41,5,4.9,796341,2023-10-25,SK9801,8,SUNSCREENS,9.2,70.0,17.1,Clear,10.3
4578,61,103.35,4,4.0,371442,2023-12-12,SK8194,2,TONERS,12.1,35.5,6.3,Thunderstorms,10.8
2720,39,56.62,4,1.6,873983,2023-05-26,SK3486,1,CLEANSERS,10.9,42.0,26.6,Partly sunny,9.9
1759,39,27.59,3,3.6,356925,2023-04-22,SK8409,8,SUNSCREENS,-6.5,21.5,23.6,Partly cloudy,-3.7
1885,20,121.13,3,4.4,820967,2023-03-15,SK4707,8,SUNSCREENS,11.9,58.5,21.4,Mostly cloudy with storms,12.7
2117,32,47.44,3,1.4,172354,2023-02-05,SK6121,2,TONERS,1.5,41.2,14.7,Partly sunny with showers,-1.3
3312,21,121.35,2,3.8,509954,2023-11-27,SK2245,4,MOISTURIZERS,33.6,55.1,0.5,Intermittent clouds,33.6
3496,48,108.35,1,2.7,786574,2023-07-21,SK6079,7,MASKS,15.7,88.6,13.7,Partly cloudy,18.4
2545,37,48.62,5,2.5,907556,2023-10-26,SK3600,3,EXFOLIANTS,37.4,15.0,11.8,Thunderstorms,38.3
1023,48,127.12,2,3.0,833222,2023-10-13,SK9034,5,SERUMS,30.5,56.3,29.2,Intermittent clouds,32.3
1485,53,108.65,4,4.8,181985,2023-11-09,SK4351,2,TONERS,-8.1,54.7,29.8,Intermittent clouds,-5.4
3616,61,92.88,1,2.8,570926,2023-11-20,SK7990,7,MASKS,-8.4,54.7,2.8,Mostly cloudy w showers,-7.7
2282,29,98.52,4,1.9,439027,2023-05-01,SK5236,2,TONERS,39.1,80.4,3.7,Showers,41.3
2211,55,170.35,1,2.9,245697,2023-10-08,SK3093,4,MOISTURIZERS,4.8,72.8,7.4,Mostly cloudy with storms,3.4
2586,47,183.41,4,4.8,508586,2023-09-30,SK2798,6,EYECARE,7.2,27.3,7.7,Mostly cloudy with storms,7.1
2045,43,168.45,2,3.6,237596,2023-03-16,SK3285,9,ANTIAGING,33.2,36.2,19.4,Sunny,32.9
3356,62,48.97,3,2.7,142600,2023-12-25,SK6050,9,ANTIAGING,9.6,43.7,11.5,Sunny,8.7
3197,22,143.0,5,3.2,873277,2023-05-03,SK4763,5,SERUMS,-0.4,35.4,29.8,Mostly cloudy w showers,-1.8
4961,63,60.14,5,4.1,500062,2023-08-24,SK1531,5,SERUMS,20.6,25.3,19.1,Mostly sunny,23.6
3608,54,12.89,5,4.4,967781,2023-01-27,SK8232,9,ANTIAGING,12.3,77.0,10.4,Rain,13.0
2833,24,33.49,4,3.6,565763,2023-04-15,SK4265,4,MOISTURIZERS,26.1,45.5,1.0,Mostly clear,23.5
3771,46,19.71,1,4.9,552185,2023-09-09,SK6875,4,MOISTURIZERS,-8.5,30.6,14.9,Mostly clear,-8.1
1394,50,195.18,1,4.5,887234,2023-11-12,SK6017,6,EYECARE,10.6,17.8,22.9,Showers,13.4
2931,63,110.97,2,1.2,429009,2023-07-31,SK5462,6,EYECARE,28.1,87.0,19.4,Sunny,31.0
1765,21,159.18,3,1.3,396209,2023-02-27,SK9803,1,CLEANSERS,0.3,45.5,26.5,Thunderstorms,1.5
2736,29,187.46,2,4.8,642441,2023-08-08,SK5702,6,EYECARE,2.4,70.7,20.5,Sunny,1.1
4379,44,185.97,4,3.8,123174,2023-10-03,SK8683,8,SUNSCREENS,12.7,36.9,0.5,Thunderstorms,15.6
1288,61,37.86,3,3.4,322500,2023-06-01,SK9569,3,EXFOLIANTS,-1.2,76.7,14.8,Intermittent clouds,-2.4
3728,45,130.57,3,2.0,699661,2023-05-27,SK1090,3,EXFOLIANTS,31.9,64.8,18.1,Partly sunny,31.2
2304,24,152.26,3,4.9,815633,2023-12-24,SK7814,4,MOISTURIZERS,38.3,22.8,9.4,Partly cloudy,39.2
2856,37,71.9,1,3.2,421474,2023-05-05,SK4288,9,ANTIAGING,-5.0,82.8,20.3,Partly sunny with showers,-3.6
1605,59,94.8,5,3.2,638440,2023-11-05,SK4584,2,TONERS,-0.7,67.1,1.0,Mostly sunny,0.8
4068,35,98.15,5,3.9,925274,2023-04-18,SK8402,4,MOISTURIZERS,25.7,72.9,26.5,Partly cloudy,25.5
2132,50,17.51,4,4.1,209986,2023-07-28,SK8546,3,EXFOLIANTS,20.6,55.1,4.8,Mostly cloudy w showers,23.2
2826,18,87.12,3,3.6,346598,2023-02-19,SK2847,1,CLEANSERS,24.4,61.7,2.5,Clear,25.2
3417,22,76.87,5,3.7,711894,2023-08-31,SK9895,4,MOISTURIZERS,23.2,84.5,3.8,Sunny,21.7
2466,35,189.88,5,2.4,403234,2023-01-19,SK6063,4,MOISTURIZERS,5.5,75.7,29.8,Mostly sunny,2.7
3647,64,23.92,3,4.4,136290,2023-04-29,SK4937,6,EYECARE,29.2,25.5,3.3,Partly sunny,27.8
4178,20,94.98,3,1.4,184617,2023-04-24,SK7267,4,MOISTURIZERS,-9.2,69.1,5.8,Clear,-11.8
3159,23,23.49,5,3.8,862449,2023-07-01,SK6688,4,MOISTURIZERS,21.3,66.6,26.3,Cloudy,22.4
2925,37,182.96,3,3.0,253226,2023-04-03,SK6464,4,MOISTURIZERS,34.7,36.8,24.3,Mostly clear,37.4
3393,64,134.02,3,3.3,944244,2023-08-11,SK4219,6,EYECARE,18.9,14.9,16.9,Thunderstorms,21.7
1714,65,198.88,2,3.3,669236,2023-05-16,SK3401,1,CLEANSERS,16.7,48.3,13.9,Sunny,15.2
3680,62,42.33,5,3.0,440393,2023-10-17,SK9645,8,SUNSCREENS,34.5,31.8,5.8,Partly sunny with showers,34.8
3478,33,175.58,4,2.6,364838,2023-10-03,SK1135,8,SUNSCREENS,27.2,77.2,12.9,Intermittent clouds,24.4
3887,53,82.8,3,3.6,249462,2023-05-28,SK2161,7,MASKS,9.6,70.1,7.9,Cloudy,12.1
3834,48,137.39,2,4.8,842514,2023-12-20,SK2123,2,TONERS,26.0,48.6,14.6,Intermittent clouds,28.3
4528,59,77.59,1,3.6,798097,2023-02-28,SK2751,2,TONERS,28.9,62.8,0.2,Mostly sunny,26.2
4581,59,99.75,5,1.4,869861,2023-09-13,SK8509,2,TONERS,-1.5,88.9,5.1,Mostly cloudy w showers,0.1
4684,50,37.89,2,1.8,904205,2023-06-16,SK6722,4,MOISTURIZERS,-4.6,48.0,4.5,Partly cloudy,-6.4
1783,18,160.22,3,1.6,584174,2023-11-12,SK7544,3,EXFOLIANTS,-4.4,16.0,3.1,Rain,-6.1
3432,63,47.16,1,3.8,877145,2023-12-23,SK9128,5,SERUMS,8.9,76.9,28.3,Intermittent clouds,6.2
1326,23,52.16,5,1.3,277550,2023-03-30,SK5582,3,EXFOLIANTS,16.0,22.4,7.2,Cloudy,15.4
1389,57,79.29,4,2.6,500808,2023-07-24,SK2717,3,EXFOLIANTS,12.8,15.1,17.1,Cloudy,10.5
4632,49,134.34,4,1.1,804923,2023-03-01,SK4090,7,MASKS,35.8,47.2,5.9,Partly sunny with showers,34.6
3832,61,168.16,3,1.6,379964,2023-10-10,SK4527,7,MASKS,-2.1,27.8,2.2,Cloudy,-2.1
1043,55,13.37,2,1.9,557446,2023-07-13,SK2642,3,EXFOLIANTS,33.4,58.7,5.3,Partly sunny,35.9
2647,23,91.76,3,4.3,965776,2023-03-03,SK7934,3,EXFOLIANTS,16.2,73.1,20.8,Mostly clear,14.3
2324,21,139.61,3,1.8,355384,2023-03-09,SK2817,5,SERUMS,27.0,56.1,19.9,Clear,24.5
4898,48,142.75,4,1.3,632880,2023-11-05,SK2438,8,SUNSCREENS,24.8,59.0,13.7,Mostly sunny,26.7
3371,46,25.43,2,1.9,863380,2023-05-12,SK4874,7,MASKS,3.4,18.4,23.7,Partly sunny with showers,5.6
2504,64,155.21,2,2.6,573301,2023-01-30,SK8756,7,MASKS,-5.9,62.0,13.7,Partly sunny,-4.7
3858,45,77.8,3,3.0,612511,2023-05-05,SK6709,2,TONERS,35.0,12.6,8.2,Partly sunny,33.3
4297,57,74.65,1,1.1,566918,2023-04-12,SK8655,2,TONERS,37.3,16.0,10.6,Partly cloudy,36.3
2906,63,103.02,2,3.6,224456,2023-02-27,SK8601,2,TONERS,-3.9,48.7,18.7,Partly sunny,-5.5
1110,20,32.58,3,4.6,932491,2023-09-30,SK5542,6,EYECARE,26.8,55.2,21.5,Mostly sunny,27.9
1128,29,114.18,1,4.2,834440,2023-04-24,SK2076,6,EYECARE,32.6,16.8,6.6,Showers,34.6
1811,45,185.31,3,1.5,844415,2023-05-05,SK7728,1,CLEANSERS,38.9,79.8,3.7,Partly sunny with showers,38.4
4972,44,187.87,4,4.1,617376,2023-11-23,SK1470,6,EYECARE,0.7,17.9,14.9,Rain,-1.6
1780,57,121.38,3,4.8,437277,2023-02-02,SK2123,4,MOISTURIZERS,33.6,44.6,3.8,Partly sunny with showers,31.2
2775,60,100.12,5,3.6,839017,2023-01-16,SK5827,7,MASKS,6.1,53.9,10.6,Partly sunny with showers,3.7
2875,41,151.5,3,3.2,407143,2023-04-01,SK4952,4,MOISTURIZERS,-3.7,25.1,9.1,Partly sunny,-5.4
3349,43,169.54,2,1.5,220333,2023-06-29,SK3780,9,ANTIAGING,-3.0,47.0,16.9,Clear,-3.7
3460,63,155.58,4,3.7,519056,2023-04-18,SK5179,2,TONERS,21.4,55.2,10.8,Mostly sunny,19.5
3076,51,69.44,3,2.4,834243,2023-12-14,SK8433,2,TONERS,15.8,78.1,21.9,Mostly cloudy with storms,16.4
1060,34,41.45,3,4.6,107780,2023-07-13,SK8663,2,TONERS,7.3,10.3,17.0,Intermittent clouds,6.1
3163,32,121.15,3,1.6,384598,2023-10-10,SK7231,2,TONERS,28.1,63.4,14.4,Partly sunny,26.9
2197,42,162.18,4,1.3,790154,2023-08-31,SK1605,2,TONERS,19.6,45.4,24.0,Mostly sunny,18.3
2637,29,138.24,1,4.9,321988,2023-06-20,SK1275,6,EYECARE,-1.5,54.0,14.9,Mostly sunny,0.5
1119,46,141.62,2,2.2,915664,2023-04-27,SK6290,9,ANTIAGING,39.9,14.9,8.7,Thunderstorms,41.6
1487,44,172.45,1,4.3,903484,2023-03-12,SK3216,6,EYECARE,13.4,85.1,17.4,Thunderstorms,10.5
4995,24,132.75,3,4.6,407672,2023-09-10,SK5892,1,CLEANSERS,-6.1,74.9,28.4,Mostly sunny,-4.4
2089,49,36.07,3,3.5,716113,2023-10-18,SK7499,2,TONERS,23.1,14.5,11.8,Rain,20.3
3942,21,37.11,2,1.7,902853,2023-06-07,SK2763,8,SUNSCREENS,13.9,32.9,1.1,Partly cloudy,15.0
2484,59,32.44,5,3.8,208621,2023-07-06,SK3621,7,MASKS,6.9,43.5,26.3,Sunny,6.7
3245,18,158.58,5,2.0,356518,2023-06-26,SK6865,3,EXFOLIANTS,4.7,76.6,14.9,Partly cloudy,2.0
4403,21,121.52,1,1.9,314600,2023-06-16,SK1269,7,MASKS,15.3,55.2,14.4,Partly sunny,15.9
4052,65,126.05,5,2.9,786642,2023-04-18,SK3700,9,ANTIAGING,27.5,67.7,27.4,Mostly sunny,28.2
4533,49,168.99,1,2.0,379848,2023-04-14,SK2367,9,ANTIAGING,31.2,43.1,9.6,Mostly cloudy w showers,31.8
4734,46,184.49,4,3.1,786559,2023-04-20,SK6119,4,MOISTURIZERS,26.3,79.4,15.2,Cloudy,24.3
2367,20,38.93,2,2.6,679834,2023-09-13,SK3155,9,ANTIAGING,22.2,76.6,19.8,Showers,24.0
1707,54,113.11,3,3.6,423725,2023-12-26,SK3909,5,SERUMS,13.3,73.1,24.8,Thunderstorms,15.5
2988,50,87.49,2,3.7,922365,2023-01-02,SK4661,1,CLEANSERS,-2.5,20.5,22.7,Cloudy,-3.5
1248,39,60.31,1,3.6,680637,2023-12-11,SK1684,2,TONERS,36.0,15.7,1.7,Mostly cloudy w showers,33.5
3466,49,184.15,1,4.3,800290,2023-09-27,SK5825,4,MOISTURIZERS,25.7,80.8,22.4,Intermittent clouds,28.6
3090,64,153.71,1,3.9,474191,2023-10-25,SK8241,7,MASKS,16.4,57.3,28.5,Mostly clear,14.7
4581,28,34.65,2,4.8,168919,2023-09-03,SK8633,8,SUNSCREENS,-6.5,20.8,16.8,Thunderstorms,-7.7
3812,55,57.75,3,2.5,615704,2023-08-09,SK6004,6,EYECARE,-5.3,54.0,4.9,Thunderstorms,-5.0
2367,65,142.3,5,3.4,218582,2023-03-11,SK4984,6,EYECARE,7.5,13.9,14.9,Mostly cloudy with storms,7.2
4345,40,29.91,5,2.2,338588,2023-08-12,SK7222,7,MASKS,26.7,49.2,0.8,Partly sunny with showers,29.4
4830,20,49.63,4,1.2,398697,2023-01-22,SK2973,7,MASKS,37.6,41.4,8.7,Mostly clear,36.3
2256,61,152.36,5,3.3,873541,2023-10-16,SK1932,5,SERUMS,23.9,13.2,1.2,Mostly clear,25.4
3938,35,5.0,5,4.8,162273,2023-04-11,SK8077,6,EYECARE,-0.7,16.0,11.0,Thunderstorms,1.1
1210,22,125.17,5,3.1,902969,2023-06-11,SK9035,4,MOISTURIZERS,39.7,79.0,28.7,Partly cloudy,37.9
4439,31,28.42,1,3.6,807844,2023-02-27,SK9594,4,MOISTURIZERS,12.9,59.9,7.7,Clear,10.5
1919,25,188.1,3,2.4,750371,2023-08-30,SK6107,7,MASKS,2.2,14.0,20.8,Intermittent clouds,3.8
1369,42,151.5,4,1.9,747743,2023-03-30,SK4395,9,ANTIAGING,24.5,17.1,28.1,Mostly clear,23.3
3901,48,80.31,2,4.5,721863,2023-09-27,SK4594,3,EXFOLIANTS,1.4,24.3,14.1,Mostly cloudy w showers,-0.1
1548,24,157.21,2,4.8,790500,2023-03-21,SK1372,8,SUNSCREENS,7.5,29.0,2.0,Cloudy,9.1
1739,37,136.55,1,3.2,319021,2023-09-24,SK6628,4,MOISTURIZERS,37.1,64.2,21.0,Sunny,39.8
4523,21,147.94,1,4.5,873666,2023-11-20,SK7251,1,CLEANSERS,-5.5,89.6,11.3,Cloudy,-7.2
2991,62,124.24,1,2.0,641102,2023-12-03,SK3577,9,ANTIAGING,29.6,88.1,0.0,Clear,31.3
3280,30,184.49,5,1.0,647942,2023-03-11,SK9669,4,MOISTURIZERS,35.7,46.4,0.5,Cloudy,34.0
1466,29,22.68,4,4.9,143155,2023-06-14,SK1175,2,TONERS,8.2,66.0,13.1,Cloudy,7.7
3279,64,72.09,1,3.0,501439,2023-05-16,SK8335,1,CLEANSERS,-3.9,74.5,19.4,Cloudy,-5.1
4689,63,97.28,1,1.8,166366,2023-01-13,SK1714,6,EYECARE,38.4,72.5,25.8,Mostly clear,37.5
1671,30,145.71,5,4.4,202015,2023-06-03,SK9196,1,CLEANSERS,5.4,79.2,1.8,Intermittent clouds,4.1
3232,27,129.92,4,2.1,223054,2023-04-11,SK3550,8,SUNSCREENS,-0.5,61.7,9.1,Rain,-0.8
3932,48,122.83,2,2.3,349392,2023-09-22,SK8769,9,ANTIAGING,32.9,14.0,5.2,Mostly cloudy with storms,35.2
1737,35,16.5,5,3.1,763518,2023-06-14,SK8270,1,CLEANSERS,18.2,55.3,18.5,Intermittent clouds,21.2
1582,20,157.08,2,1.8,875895,2023-07-19,SK1596,6,EYECARE,-9.9,54.6,15.9,Thunderstorms,-8.4
2268,26,129.11,1,1.6,484400,2023-10-21,SK6099,9,ANTIAGING,10.2,48.2,15.8,Cloudy,8.9
3166,40,89.99,3,2.1,349382,2023-01-12,SK3008,8,SUNSCREENS,32.6,74.3,1.7,Clear,32.6
1837,65,157.17,1,2.8,740480,2023-04-23,SK1976,1,CLEANSERS,12.5,22.5,24.9,Partly sunny with showers,12.2
1713,34,138.53,5,1.5,642033,2023-01-19,SK4574,8,SUNSCREENS,38.9,33.3,22.1,Mostly clear,41.9
4035,23,126.29,1,3.3,174336,2023-09-26,SK2388,6,EYECARE,-6.4,10.8,5.2,Rain,-8.5
1033,64,45.37,5,1.4,798877,2023-05-09,SK2217,3,EXFOLIANTS,6.7,45.4,4.7,Sunny,4.7
3785,37,178.92,5,1.6,670024,2023-01-31,SK1518,9,ANTIAGING,25.3,32.2,7.5,Mostly cloudy w showers,27.2
2006,33,114.94,3,3.9,838743,2023-04-15,SK7389,5,SERUMS,28.0,52.4,12.2,Cloudy,28.0
3927,50,90.31,1,4.8,726157,2023-09-10,SK6153,1,CLEANSERS,12.2,62.0,18.4,Clear,12.2
3465,65,149.19,4,4.1,523467,2023-01-02,SK6592,3,EXFOLIANTS,18.4,25.0,3.2,Rain,20.4
3915,31,180.46,1,5.0,876417,2023-07-30,SK7260,2,TONERS,8.1,12.8,1.0,Partly cloudy,7.3
1936,23,199.83,1,3.8,853643,2023-07-26,SK3686,8,SUNSCREENS,13.8,28.1,17.3,Rain,16.7
2654,44,100.23,5,3.1,335667,2023-04-01,SK9836,9,ANTIAGING,6.5,37.5,7.7,Thunderstorms,9.4
2999,45,34.85,3,3.8,213273,2023-02-21,SK4346,9,ANTIAGING,-2.4,18.5,24.7,Clear,0.3
